,Unnamed: 0,url,lat,lng,name,formatted_address,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
47,ChIJxc5NWDFBlkYR6iAOnf_174s,https://maps.google.com/?cid=10083548568906244330,59.886551299999994,29.8324868,Университетская,"Санкт-Петербург, Россия, 198504",0,0,0,0,0,0,2,11,43,90,89,55,48,58,70,76,75,66,52,37,24,13,6,1
48,ChIJx-xH_6xGlkYRoPV99dNCGXQ,https://maps.google.com/?cid=8365791260941612448,59.902886499999994,29.8059695,Мартышкино,"Санкт-Петербург, Россия, 198411",0,0,0,0,0,0,10,16,17,13,5,0,0,0,0,5,16,25,30,29,21,9,0,0
49,ChIJ2YQqhg5ElkYR5NjPuSNUFsw,https://maps.google.com/?cid=14706034145642928356,59.917662199999995,29.7707654,Ораниенбаум I,"Санкт-Петербург, Россия, 198412",0,0,0,0,0,15,45,73,85,77,58,44,42,50,62,73,79,78,71,59,44,29,14,2
50,ChIJbZUwjH1DlkYRlW1ZtpR1p_w,https://maps.google.com/?cid=18205649300243443093,59.92527740000001,29.7004163,Кронштадтская Колония,"Санкт-Петербург, Россия, 198412",0,0,0,0,0,0,0,0,5,11,0,0,0,0,5,11,16,22,27,27,22,22,16,11
51,ChIJPfIChltDlkYRNjU4PLJJZG8,https://maps.google.com/?cid=8026621465744389430,59.92810180000001,29.655538500000002,Бронка,"Санкт-Петербург, Россия, 188530",0,0,0,0,0,1,7,12,14,13,10,8,7,8,12,15,19,21,21,18,12,4,0,0
52,ChIJER81lJFclkYRTgGjC2Dwv_4,https://maps.google.com/?cid=18356654901488189774,59.94149470000001,29.5650038,Большая Ижора,"Ленинградская обл., Россия, 188531",0,0,0,0,8,18,26,27,22,16,11,9,9,4,0,0,0,0,13,26,32,31,21,9
53,ChIJB2T_CpxelkYR292q0mpTZY4,https://maps.google.com/?cid=10260699044299595227,59.956087600000004,29.44252539999999,Чайка,"Ленинградская обл., Россия, 188532",0,0,0,0,0,0,0,0,0,1,4,6,3,0,0,0,3,0,0,0,0,0,0,0
54,ChIJc418y41elkYRvdDda7aK_HY,https://maps.google.com/?cid=8573880306704961725,59.95521529999999,29.413194899999997,Лебяжье,"Лебяжье, Ленинградская обл., Россия, 188532",0,0,0,0,0,3,8,10,11,11,10,10,12,16,21,25,26,24,18,12,4,0,0,0
55,ChIJH3GJ7r5flkYR7OZDqexN560,https://maps.google.com/?cid=12531070167029114604,59.9508616,29.3049914,Пл. 68 км,"Ленинградская обл., Россия, 188532",0,0,0,0,0,0,2,12,22,29,29,29,25,22,20,16,12,8,2,0,0,0,0,0
56,ChIJxzQ9ZUSKlkYRLEjIDjVcSH0,https://maps.google.com/?cid=9027566836015188012,59.8996777,29.1162587,Пл. 80 км,"Сосновый Бор, Ленинградская обл., Россия, 188540",5,1,0,0,0,0,0,25,41,30,7,0,0,5,14,20,23,24,23,20,17,15,13,10
